source_id,corpus,folder_name,material_type,clean_source_path,clean_match_confidence,duplicate_group,report_file_count,report_characters,report_lines,review_status,evidence_level,notes
B0476,book,夏燕靖：《中国艺术设计史(升级版)》，2017,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\夏燕靖：《中国艺术设计史(升级版)》，2017_clean.md,1.0,,19,62174,1786,machine_read_complete,V2,
B0477,book,夏燕靖：《中国艺术设计史》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\夏燕靖：《中国艺术设计史》_clean.md,1.0,,18,79173,2144,machine_read_complete,V2,
B0478,book,大卫·瑞兹曼 (David Raizman)：《现代设计史（第2版）》，2013,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\大卫·瑞兹曼 (David Raizman)：《现代设计史（第2版）》，2013_clean.md,1.0,,24,87636,2274,machine_read_complete,V2,
B0479,book,孔铮桢，綦明著：《物用之美_中国设计艺术的历史与理论》，2014,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\孔铮桢，綦明著：《物用之美_中国设计艺术的历史与理论》，2014.md,1.0,,16,74171,1627,machine_read_complete,V2,
B0480,book,尼古拉斯·佩夫斯纳：《现代设计的先驱者：从威廉·莫里斯到沃尔特·格罗皮乌斯》，2019,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\尼古拉斯·佩夫斯纳：《现代设计的先驱者：从威廉·莫里斯到沃尔特·格罗皮乌斯》，2019_clean.md,1.0,,15,84912,1668,machine_read_complete,V2,
B0481,book,张夫也：《外国工艺美术史(第2版)》，2015,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\张夫也：《外国工艺美术史(第2版)》，2015_clean.md,1.0,,30,102982,3842,machine_read_complete,V2,
B0482,book,张夫也：《外国现代设计史》，2009,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\张夫也：《外国现代设计史》，2009.md,1.0,,24,215845,2891,machine_read_complete,V2,
B0483,book,文一：《伟大的中国工业革命发展政治经济学一般原理批判纲要》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\文一：《伟大的中国工业革命发展政治经济学一般原理批判纲要》_clean.md,1.0,,15,61550,1492,machine_read_complete,V2,
B0484,book,"斯塔夫里阿诺斯, L.S.：《全球通史-1500年以后的世界》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\斯塔夫里阿诺斯, L.S.：《全球通史-1500年以后的世界》_clean.md",1.0,,38,72724,2345,machine_read_complete,V2,
B0485,book,曹小鸥：《中国现代设计思想：生活、启蒙、变迁》，2018,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\曹小鸥：《中国现代设计思想：生活、启蒙、变迁》，2018_clean.md,1.0,,17,80489,2312,machine_read_complete,V2,
