section_id,chapter_id,chapter_title,section_title,rank,source_id,corpus,folder_name,similarity_score,mapping_grade,status
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,15,B0122,book,"Digital Design Theory_ Readings from the Field (Design -- Armstrong, Helen -- De",0.335561,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,16,B0273,book,"Lees-Maffei, Grace; Houze, Rebecca (eds.)：The Design History Reader, 2010",0.335386,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,17,B0235,book,Jonathan M. Woodham：《Twentieth Century Design》,0.334766,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,18,B0036,book,"Attfield：《A View from the interior feminism, women, and design》",0.332512,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,19,B0180,book,Guy Julier：《The Culture of Design》，2000,0.332342,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,20,P0007,paper,"Bauhaus Imaginista Haus der Kulturen der Welt, Berlin, -- Basu, Priyanka -- West",0.330089,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,21,B0052,book,"Briggs, Asa：《Victorian things》",0.321697,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,22,B0108,book,"Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic",0.320233,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,23,B0107,book,Design Anthropology in Context _ An Introduction to Design -- Adam Drazin -- Lon,0.319921,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,24,B0259,book,"Kenneth Pomeranz：《The Great Divergence China, Europe, and the Making of the Modern World Economy》",0.318488,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,25,B0089,book,Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》,0.318199,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,26,B0399,book,"Sparke, Penny; Fisher, Fiona (eds.), The Routledge Companion to Design Studies, 2016",0.315776,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,27,B0266,book,Landsberger：《Chinese propaganda posters from revolution to modernization》,0.315057,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,28,B0185,book,Heller：《Paul Rand》,0.31438,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,29,B0170,book,Glenn Adamson：《Global Design History》,0.311504,UNREVIEWED,candidate_needs_review
0.3,CH00,导论　设计史的对象、证据、时间与叙事,从英雄谱系到关系史,30,B0166,book,"George, Kenneth M.; Nordholt, Henk Schulte：《Outward Appearances Dressing State and Society in Indonesia》",0.306971,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,1,B0087,book,"Contextual Design_ Defining Customer-Centered Systems -- Beyer, Hugh, Holtzblatt",0.382456,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,2,P0072,paper,"Winner, Langdon：Do Artifacts Have Politics？, 1980",0.377945,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,3,B0419,book,"The designed world _ images, objects, environments -- Buchanan, Richard (editor)",0.375083,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,4,B0240,book,Judy Attfield：《Wild Things The Material Culture of Everyday Life》，2000,0.36781,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,5,B0057,book,"Buchanan, Richard; Doordan, Dennis P.; Margolin, Victor (eds.), The Designed World, 2010",0.366886,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,6,B0108,book,"Design discourse _ history, theory, criticism -- Margolin, Victor, 1941- -- Chic",0.362727,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,7,B0017,book,Alison J. Clarke (ed.)：《Design Anthropology Object Cultures in Transition》,0.359432,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,8,B0059,book,"Buchanan, Richard; Margolin, Victor (eds.), The Idea of Design, 1995",0.355318,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,9,B0107,book,Design Anthropology in Context _ An Introduction to Design -- Adam Drazin -- Lon,0.353294,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,10,B0142,book,"Elizabeth Shove, Matthew Watson, Martin Hand, Jack Ingram：《The Design of Everyday Life》，2007",0.352098,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,11,B0441,book,Walker：《Sustainable by design explorations in theory and practice》,0.351414,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,12,B0115,book,"Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor",0.346359,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,13,B0125,book,Don Norman：《The Design of Future Things》,0.342162,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,14,B0402,book,"Sprigg, June：《Shaker design》",0.340069,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,15,B0263,book,Kjetil Fallan：《Design History Understanding Theory and Method》,0.335802,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,16,B0241,book,Juhani Pallasmaa：《The Eyes of the Skin Architecture and the Senses》，1996,0.335215,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,17,B0046,book,Bill Moggridge：《Designing Interactions》，2007,0.335146,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,18,B0099,book,"David Crowley, Susan E. Reid：《Socialist Spaces Sites of Everyday Life in the Eastern Bloc》，2002",0.334722,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,19,B0264,book,Klaus Krippendorff：《The Semantic Turn A New Foundation For Design》,0.331247,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,20,B0243,book,Junichiro Tanizaki：《In Praise of Shadows》，1933,0.330993,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,21,B0448,book,"Weiner, Annette B.; Schneider, Jane：《Cloth and human experience》",0.330692,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,22,B0052,book,"Briggs, Asa：《Victorian things》",0.329523,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,23,B0123,book,Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;,0.326173,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,24,B0290,book,"Margolin, Victor; Buchanan, Richard (eds.)：The Idea of Design：A Design Issues Reader, 1995",0.325757,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,25,B0280,book,Löwgren：《Thoughtful interaction design a design perspective on information technology》,0.325321,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,26,P0041,paper,Laura Forlano：《Posthumanism and Design》，2017,0.324201,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,27,B0301,book,"Matt Malpass：《Critical Design in Context History, Theory, and Practices》",0.323541,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,28,B0227,book,John M. Carroll (ed.)：《Human-Computer Interaction in the New Millennium》，2002,0.322474,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,29,B0489,book,李砚祖：《外国设计艺术经典论著选读(上)》，2004,0.320084,UNREVIEWED,candidate_needs_review
0.4,CH00,导论　设计史的对象、证据、时间与叙事,人工物如何成为史料,30,B0120,book,Deyan Sudjic：《The Language of Things Understanding the World of Desirable Objects》，2008,0.318462,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,1,B0376,book,"Roland Marchand：《Advertising and the American dream - Making way for modernity, 1920-1940》",0.346858,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,2,B0005,book,"Adamson, Glenn; Riello, Giorgio; Teasley, Sarah (eds.), Global Design History, 2011",0.331262,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,3,B0214,book,"Johanna Drucker, Emily McVarish：《Graphic Design History A Critical Guide》，2009",0.318997,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,4,B0189,book,"Heskett, John：《Industrial design》",0.311729,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,5,B0282,book,Magdalena Droste：《The Bauhaus 1919-1933》，1990,0.302533,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,6,B0178,book,Greiman：《Hybrid imagery the fusion of technology and graphic design》,0.295541,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,7,B0182,book,"Hans M. Wingler：《The Bauhaus Weimar, Dessau, Berlin, Chicago》，1969",0.277126,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,8,B0115,book,"Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor",0.276852,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,9,B0517,book,靳埭强：《中国现代设计与包豪斯＝BAUHAUS CHINESE MODERN DESIGN》,0.276616,UNREVIEWED,candidate_needs_review
0.5,CH00,导论　设计史的对象、证据、时间与叙事,图像、档案、口述与数字痕迹,10,B0256,book,"Kelly, Rob Roy：American Wood Type, 1828-1900：Notes on the Evolution of Decorated and Large Types, 1977",0.276274,UNREVIEWED,candidate_needs_review
